lon,lat,depth,dFe_obs
214.77,27.58,0.0,0.16
202.69,22.75,0.0,0.57
232.8,34.56,0.0,0.25
212.38,26.53,0.0,0.24
202.64,22.73,0.0,0.58
234.83,35.35,0.0,0.54
226.13,31.88,0.0,0.09
237.29,36.49,0.0,0.93
211.53,26.23,0.0,0.09
219.9,29.44,0.0,0.22
217.78,28.62,0.0,0.09
219.82,29.42,0.0,0.12
225.81,31.77,0.0,0.1
205.49,23.93,0.0,0.21
229.83,33.41,0.0,0.13
237.3,36.5,0.0,0.91
204.24,23.41,0.0,1.91
226.26,31.93,0.0,0.11
235.87,35.81,0.0,0.37
205.01,23.73,0.0,0.2
233.16,34.71,0.0,0.29
236.75,36.25,0.0,0.81
218.15,28.77,0.0,0.16
226.0,31.85,0.0,0.09
228.03,32.61,0.0,0.16
210.26,25.77,0.0,0.16
211.09,26.08,0.0,0.18
214.87,27.62,0.0,0.17
237.27,36.48,0.0,0.93
230.14,33.45,0.0,0.2
235.57,35.68,0.0,0.31
235.23,35.51,0.0,0.37
216.6,28.19,0.0,0.22
209.85,25.64,0.0,0.19
212.69,26.64,0.0,0.21
212.88,26.75,0.0,0.37
232.95,34.62,0.0,0.3
209.64,25.55,0.0,0.12
230.03,33.4,0.0,0.24
203.08,22.92,0.0,0.69
223.3,30.74,0.0,0.14
232.82,34.57,0.0,0.27
209.49,25.51,0.0,0.13
232.58,34.47,0.0,0.2
232.99,34.64,0.0,0.35
207.28,24.65,0.0,0.49
207.1,24.58,0.0,0.51
232.21,34.33,0.0,0.1
226.07,31.85,0.0,0.12
227.22,32.31,0.0,0.12
233.81,34.96,0.0,0.35
201.63,21.6,0.0,0.07
229.74,33.27,0.0,0.1
235.88,35.82,0.0,0.42
225.59,31.66,0.0,0.17
217.71,28.61,0.0,0.13
219.96,29.46,0.0,0.2
213.35,26.9,0.0,0.17
233.12,34.69,0.0,0.29
201.86,22.09,0.0,0.34
201.89,22.17,0.0,0.37
237.24,36.46,0.0,1.25
212.45,26.55,0.0,0.2
207.96,24.93,0.0,0.21
209.45,25.49,0.0,0.21
222.07,30.3,0.0,0.19
210.05,25.7,0.0,0.14
217.87,28.65,0.0,0.11
218.88,29.03,0.0,0.17
212.75,26.66,0.0,0.2
205.92,24.1,0.0,0.19
224.02,31.01,0.0,0.12
212.0,26.44,0.0,0.4
207.8,24.87,0.0,0.21
219.95,29.47,0.0,0.13
207.32,24.66,0.0,0.21
216.68,28.22,0.0,0.22
201.74,21.87,0.0,0.23
219.33,29.21,0.0,0.13
211.39,26.18,0.0,0.17
224.33,31.14,0.0,0.14
224.01,31.06,0.0,0.12
207.37,24.68,0.0,0.16
233.18,34.71,0.0,0.3
234.93,35.42,0.0,0.07
234.45,35.21,0.0,0.44
232.74,34.54,0.0,0.1
204.96,23.71,0.0,0.21
206.73,24.43,0.0,0.21
212.67,26.68,0.0,0.37
236.04,35.9,0.0,0.14
233.99,35.02,0.0,0.4
219.54,29.3,0.0,0.11
227.66,32.54,0.0,0.1
219.62,29.34,0.0,0.1
213.98,27.16,0.0,0.25
217.58,28.56,0.0,0.17
233.25,34.74,0.0,0.33
237.56,36.61,0.0,1.15
209.58,25.54,0.0,0.44
209.69,25.57,0.0,0.12
223.04,30.7,0.0,0.1
221.04,29.89,0.0,0.16
232.78,34.55,0.0,0.3
238.09,36.77,0.0,0.29
217.62,28.58,0.0,0.15
214.07,27.28,0.0,0.12
237.64,36.64,0.0,1.17
236.29,36.01,0.0,0.65
230.82,33.74,0.0,0.34
223.38,30.77,0.0,0.13
232.6,34.48,0.0,0.2
230.25,33.5,0.0,0.22
215.41,27.81,0.0,0.26
216.61,28.22,0.0,0.08
238.02,36.74,0.0,0.24
216.97,28.34,0.0,0.37
216.42,28.12,0.0,0.2
221.03,29.91,0.0,0.11
225.62,31.67,0.0,0.09
208.64,25.17,0.0,0.25
227.46,32.4,0.0,0.1
224.59,31.28,0.0,0.11
225.72,31.73,0.0,0.11
206.67,24.41,0.0,0.22
234.6,35.26,0.0,0.54
230.18,33.47,0.0,0.23
201.7,21.67,0.0,0.67
217.67,28.59,0.0,0.18
211.75,26.35,0.0,0.31
213.99,27.23,0.0,0.13
203.69,23.18,0.0,0.62
235.75,35.77,0.0,0.22
236.03,35.92,0.0,0.38
228.19,32.66,0.0,0.22
233.41,34.8,0.0,0.37
235.31,35.56,0.0,0.65
233.48,34.83,0.0,0.38
216.81,28.27,0.0,0.26
201.79,21.97,0.0,0.28
217.92,28.69,0.0,0.16
232.66,34.5,0.0,0.27
235.67,35.73,0.0,0.38
235.52,35.65,0.0,0.26
236.67,36.2,0.0,1.28
204.74,23.62,0.0,0.2
230.86,33.76,0.0,0.49
234.43,35.2,0.0,0.38
230.73,33.7,0.0,0.37
235.19,35.5,0.0,0.53
231.22,33.93,0.0,0.09
231.67,34.09,0.0,0.43
227.89,32.56,0.0,0.2
230.55,33.63,0.0,0.23
225.56,31.65,0.0,0.11
232.48,34.44,0.0,0.07
236.4,36.06,0.0,0.55
228.06,32.71,0.0,0.11
236.06,35.93,0.0,0.44
220.76,29.81,0.0,0.1
237.62,36.64,0.0,0.87
230.21,33.48,0.0,0.24
234.78,35.36,0.0,0.08
235.58,35.68,0.0,0.24
224.18,31.07,0.0,0.14
212.75,26.71,0.0,0.3
214.39,27.33,0.0,0.35
225.87,31.79,0.0,0.1
233.91,35.0,0.0,0.43
235.97,35.89,0.0,0.46
229.54,33.19,0.0,0.13
201.86,22.09,0.0,0.39
219.75,29.38,0.0,0.19
233.44,34.82,0.0,0.41
213.9,27.13,0.0,0.24
232.7,34.52,0.0,0.24
236.59,36.16,0.0,0.79
233.58,34.87,0.0,0.35
229.78,33.39,0.0,0.11
235.49,35.64,0.0,0.34
235.1,35.45,0.0,0.53
232.72,34.53,0.0,0.26
231.73,34.12,0.0,0.67
223.55,30.82,0.0,0.08
233.87,34.98,0.0,0.49
230.7,33.69,0.0,0.38
236.0,35.9,0.0,0.68
227.96,32.67,0.0,0.11
223.64,30.85,0.0,0.14
231.78,34.15,0.0,0.08
220.91,29.84,0.0,0.17
214.86,27.52,0.0,0.36
230.48,33.6,0.0,0.26
205.12,23.77,0.0,0.21
226.32,31.99,0.0,0.09
229.78,33.29,0.0,0.11
224.14,31.06,0.0,0.13
237.32,36.51,0.0,1.03
223.96,31.05,0.0,0.1
233.22,34.73,0.0,0.27
234.66,35.29,0.0,0.51
232.91,34.61,0.0,0.25
207.85,24.89,0.0,0.2
224.42,31.22,0.0,0.09
234.55,35.25,0.0,0.51
202.83,22.81,0.0,0.61
212.84,26.69,0.0,0.19
219.99,29.49,0.0,0.12
230.92,33.79,0.0,0.58
214.77,27.48,0.0,0.33
235.91,35.84,0.0,0.38
218.1,28.72,0.0,0.15
209.13,25.36,0.0,0.2
233.14,34.7,0.0,0.43
210.14,25.73,0.0,0.17
212.17,26.5,0.0,0.41
230.77,33.72,0.0,0.38
217.54,28.55,0.0,0.15
226.19,31.93,0.0,0.11
233.74,34.93,0.0,0.48
224.55,31.26,0.0,0.08
218.2,28.79,0.0,0.12
207.54,24.75,0.0,0.23
236.24,35.99,0.0,0.65
219.53,29.29,0.0,0.12
237.57,36.62,0.0,1.15
233.85,34.98,0.0,0.43
237.53,36.6,0.0,1.21
233.75,34.94,0.0,0.26
212.54,26.59,0.0,0.21
226.29,31.94,0.0,0.08
236.12,35.94,0.0,0.14
229.58,33.31,0.0,0.11
228.78,33.0,0.0,0.11
228.91,32.95,0.0,0.13
216.83,28.3,0.0,0.11
201.68,21.73,0.0,0.2
207.46,24.72,0.0,0.71
225.44,31.6,0.0,0.11
201.83,22.04,0.0,0.31
212.81,26.68,0.0,0.18
225.7,31.71,0.0,0.09
236.52,36.12,0.0,0.68
231.86,34.18,0.0,0.6
204.35,23.46,0.0,0.19
231.99,34.24,0.0,0.1
214.56,27.4,0.0,0.34
232.12,34.29,0.0,0.12
227.55,32.44,0.0,0.17
231.76,34.14,0.0,0.7
217.84,28.66,0.0,0.15
237.35,36.52,0.0,1.19
204.68,23.6,0.0,0.2
229.43,33.14,0.0,0.2
204.63,23.57,0.0,0.2
225.87,31.77,0.0,0.09
234.85,35.36,0.0,0.55
236.56,36.14,0.0,0.71
201.81,21.97,0.0,0.48
230.75,33.71,0.0,0.29
229.73,33.37,0.0,0.1
233.05,34.66,0.0,0.28
216.52,28.19,0.0,0.07
204.85,23.66,0.0,0.19
232.52,34.45,0.0,0.16
226.1,31.89,0.0,0.11
229.8,33.3,0.0,0.17
220.9,29.86,0.0,0.11
226.16,31.89,0.0,0.18
235.84,35.8,0.0,0.35
228.93,33.05,0.0,0.12
229.45,33.15,0.0,0.35
228.01,32.69,0.0,0.11
208.6,25.16,0.0,0.23
203.04,22.9,0.0,0.76
216.85,28.29,0.0,0.25
214.21,27.26,0.0,0.15
229.58,33.21,0.0,0.16
229.6,33.22,0.0,0.15
204.57,23.55,0.0,0.2
216.33,28.09,0.0,0.19
203.13,22.94,0.0,0.68
212.29,26.5,0.0,0.21
213.25,26.86,0.0,0.16
212.22,26.48,0.0,0.22
234.78,35.33,0.0,0.62
229.27,33.08,0.0,0.14
201.68,21.6,0.0,0.77
230.32,33.53,0.0,0.24
216.74,28.27,0.0,0.1
235.69,35.73,0.0,0.26
227.65,32.47,0.0,0.18
235.18,35.49,0.0,0.63
214.97,27.66,0.0,0.17
217.83,28.64,0.0,0.08
227.09,32.26,0.0,0.11
230.82,33.78,0.0,0.11
220.81,29.8,0.0,0.13
236.74,36.24,0.0,1.02
230.68,33.68,0.0,0.33
237.46,36.54,0.0,0.15
225.75,31.72,0.0,0.03
210.65,25.95,0.0,0.27
229.92,33.35,0.0,0.22
236.76,36.25,0.0,1.02
225.63,31.69,0.0,0.15
211.46,26.21,0.0,0.17
201.71,21.7,0.0,0.63
207.24,24.63,0.0,0.46
212.04,26.45,0.0,0.44
218.18,28.75,0.0,0.09
224.38,31.2,0.0,0.11
210.44,25.87,0.0,0.29
233.54,34.86,0.0,0.37
228.36,32.71,0.0,0.25
216.89,28.3,0.0,0.28
219.57,29.31,0.0,0.14
209.85,25.63,0.0,0.12
223.9,30.95,0.0,0.14
233.72,34.93,0.0,0.39
206.62,24.39,0.0,0.25
232.56,34.46,0.0,0.16
237.77,36.64,0.0,0.16
219.91,29.45,0.0,0.11
232.89,34.6,0.0,0.29
223.18,30.69,0.0,0.06
228.11,32.73,0.0,0.12
233.31,34.77,0.0,0.22
223.98,30.99,0.0,0.13
223.13,30.73,0.0,0.08
228.83,33.02,0.0,0.1
229.88,33.43,0.0,0.11
203.93,23.29,0.0,0.87
223.3,30.8,0.0,0.06
220.81,29.83,0.0,0.11
218.54,28.89,0.0,0.17
229.38,33.12,0.0,0.22
235.12,35.46,0.0,0.68
229.68,33.35,0.0,0.1
225.46,31.6,0.0,0.09
202.95,22.86,0.0,0.54
228.96,32.96,0.0,0.19
231.32,33.97,0.0,0.13
226.31,31.95,0.0,0.1
236.7,36.22,0.0,0.91
229.51,33.18,0.0,0.09
237.84,36.67,0.0,0.2
206.97,24.53,0.0,0.48
219.87,29.43,0.0,0.21
218.01,28.69,0.0,0.11
207.64,24.79,0.0,0.21
225.65,31.69,0.0,0.06
201.64,21.64,0.0,0.06
237.37,36.53,0.0,1.26
218.14,28.73,0.0,0.16
231.8,34.15,0.0,0.55
227.12,32.27,0.0,0.08
212.92,26.77,0.0,0.29
233.1,34.68,0.0,0.24
209.77,25.6,0.0,0.11
207.42,24.7,0.0,0.45
219.78,29.4,0.0,0.11
234.09,35.05,0.0,0.35
223.75,30.97,0.0,0.07
204.8,23.64,0.0,0.19
229.29,33.09,0.0,0.16
217.79,28.64,0.0,0.18
223.94,30.97,0.0,0.13
207.48,24.73,0.0,0.22
224.99,31.42,0.0,0.11
228.8,32.9,0.0,0.15
236.38,36.06,0.0,0.61
217.96,28.68,0.0,0.11
234.01,35.03,0.0,0.47
236.35,36.04,0.0,0.51
204.4,23.48,0.0,0.18
216.21,28.04,0.0,0.23
235.48,35.64,0.0,0.2
218.05,28.71,0.0,0.12
223.66,30.94,0.0,0.1
201.73,21.78,0.0,0.57
234.05,35.04,0.0,0.4
203.23,22.98,0.0,0.78
224.47,31.22,0.0,0.1
214.64,27.43,0.0,0.33
237.58,36.62,0.0,0.9
225.03,31.44,0.0,0.1
233.7,34.92,0.0,0.43
214.69,27.45,0.0,0.36
223.84,31.0,0.0,0.08
216.56,28.21,0.0,0.04
235.99,35.89,0.0,0.46
228.43,32.73,0.0,0.28
209.24,25.41,0.0,0.36
214.63,27.53,0.0,0.15
212.21,26.51,0.0,0.4
231.37,33.98,0.0,0.12
217.0,28.35,0.0,0.3
225.16,31.48,0.0,0.1
230.66,33.67,0.0,0.31
230.97,33.84,0.0,0.1
235.92,35.85,0.0,0.38
223.47,30.8,0.0,0.12
237.58,36.62,0.0,0.97
215.11,27.71,0.0,0.2
214.95,27.55,0.0,0.36
235.6,35.69,0.0,0.27
224.51,31.25,0.0,0.1
230.37,33.55,0.0,0.29
216.06,27.99,0.0,0.14
213.39,26.91,0.0,0.16
209.6,25.53,0.0,0.13
215.37,27.79,0.0,0.24
212.51,26.58,0.0,0.2
223.09,30.72,0.0,0.1
237.1,36.4,5.0,0.19
205.5,23.9,5.0,0.66
231.6,34.0,5.0,0.15
214.2,27.2,5.0,0.36
235.4,35.6,5.0,0.14
209.0,25.0,5.0,0.57
225.3,31.5,5.0,0.06
202.0,22.5,5.0,0.33
219.0,29.1,5.0,0.13
235.4,35.6,10.0,0.17
237.1,36.4,10.0,0.21
214.2,27.2,10.0,0.32
231.6,34.0,10.0,0.16
209.0,25.0,10.0,0.55
205.5,23.9,10.0,0.73
225.3,31.5,10.0,0.07
202.0,22.5,10.0,0.31
219.0,29.1,10.0,0.12
237.1,36.4,20.0,0.2
202.0,22.5,20.0,0.25
225.3,31.5,20.0,0.07
235.4,35.6,20.0,0.16
214.2,27.2,20.0,0.34
209.0,25.0,20.0,0.63
231.6,34.0,20.0,0.18
219.0,29.1,20.0,0.1
205.5,23.9,20.0,0.56
202.0,22.5,40.0,0.24
231.6,34.0,40.0,0.15
237.1,36.4,40.0,0.25
214.2,27.2,40.0,0.21
225.3,31.5,40.0,0.08
209.0,25.0,40.0,0.39
205.5,23.9,40.0,0.53
235.4,35.6,40.0,0.15
219.0,29.1,40.0,0.08
237.1,36.4,75.0,0.49
209.0,25.0,75.0,0.39
219.0,29.1,75.0,0.08
205.5,23.9,75.0,0.34
235.4,35.6,75.0,0.18
202.0,22.5,75.0,0.18
214.2,27.2,75.0,0.15
225.3,31.5,75.0,0.06
209.0,25.0,100.0,0.37
219.0,29.1,100.0,0.05
235.4,35.6,100.0,0.21
202.0,22.5,100.0,0.26
205.5,23.9,100.0,0.29
231.6,34.0,100.0,0.12
237.1,36.4,100.0,0.68
225.3,31.5,100.0,0.05
231.6,34.0,125.0,0.13
205.5,23.9,125.0,0.27
225.3,31.5,125.0,0.06
235.4,35.6,125.0,0.27
202.0,22.5,125.0,0.2
237.1,36.4,125.0,0.75
214.2,27.2,125.0,0.12
219.0,29.1,125.0,0.04
209.0,25.0,125.0,0.23
231.6,34.0,150.0,0.13
225.3,31.5,150.0,0.09
235.4,35.6,150.0,0.4
237.1,36.4,150.0,0.89
209.0,25.0,150.0,0.19
214.2,27.2,150.0,0.13
219.0,29.1,150.0,0.15
202.0,22.5,150.0,0.24
205.5,23.9,150.0,0.31
205.5,23.9,200.0,0.52
235.4,35.6,200.0,0.81
202.0,22.5,200.0,0.24
214.2,27.2,200.0,0.2
219.0,29.1,200.0,0.14
231.6,34.0,200.0,0.23
209.0,25.0,200.0,0.29
225.3,31.5,200.0,0.14
237.1,36.4,200.0,1.37
231.6,34.0,300.0,0.41
231.6,34.0,400.0,0.61
231.6,34.0,500.0,0.83
225.3,31.5,500.0,0.57
237.1,36.4,500.0,1.83
202.0,22.5,500.0,0.37
205.5,23.9,500.0,0.52
209.0,25.0,500.0,0.5
214.2,27.2,500.0,0.64
235.4,35.6,500.0,1.05
235.4,35.6,1000.0,1.39
202.0,22.5,1000.0,0.73
209.0,25.0,1000.0,0.69
205.5,23.9,1000.0,0.99
237.1,36.4,1000.0,2.25
225.3,31.5,1000.0,0.75
214.2,27.2,1000.0,0.7
214.2,27.2,1500.0,0.82
202.0,22.5,1500.0,0.71
237.1,36.4,1500.0,3.29
235.4,35.6,1500.0,1.66
205.5,23.9,1500.0,0.85
225.3,31.5,1500.0,0.83
209.0,25.0,1500.0,0.83
238.0,36.7,1.0,0.5
238.0,36.7,1.0,1.2
215.0,50.0,0.0,0.01
215.0,50.0,10.0,0.01
215.0,50.0,25.0,0.01
215.0,50.0,40.0,0.01
215.0,50.0,75.0,0.03
215.0,50.0,100.0,0.02
215.0,50.0,200.0,0.28
215.0,50.0,300.0,0.33
215.0,50.0,400.0,0.4
215.0,50.0,600.0,0.43
215.0,50.0,800.0,0.47
215.0,50.0,1000.0,0.62
223.83,51.75,10.0,0.03
223.83,51.75,25.0,0.1
223.83,51.75,50.0,0.05
223.83,51.75,75.0,0.07
223.83,51.75,100.0,0.1
223.83,51.75,150.0,0.34
223.83,51.75,200.0,0.37
223.83,51.75,300.0,0.36
223.83,51.75,400.0,0.62
223.83,51.75,155.0,0.37
223.83,52.25,10.0,0.05
223.83,52.25,25.0,0.01
223.83,52.25,50.0,0.03
223.83,52.25,75.0,0.02
223.83,52.25,100.0,0.09
223.83,52.25,150.0,0.34
223.83,52.25,200.0,0.62
223.83,52.25,300.0,0.58
223.83,52.25,400.0,0.88
223.83,52.25,600.0,0.68
223.85,52.75,10.0,0.14
223.85,52.75,25.0,0.06
223.85,52.75,50.0,0.09
223.85,52.75,75.0,0.17
223.85,52.75,100.0,0.28
223.85,52.75,150.0,0.63
223.85,52.75,200.0,0.67
223.85,52.75,300.0,0.85
223.85,52.75,460.0,0.92
223.85,52.75,600.0,0.63
220.5,53.8,10.0,0.02
220.5,53.8,25.0,0.03
220.5,53.8,50.0,0.04
220.5,53.8,75.0,0.05
220.5,53.8,100.0,0.06
220.5,53.8,150.0,0.22
220.5,53.8,200.0,0.31
220.5,53.8,300.0,0.38
220.5,53.8,400.0,0.44
220.5,53.8,600.0,0.48
222.0,53.8,10.0,0.01
222.0,53.8,25.0,0.02
222.0,53.8,50.0,0.07
222.0,53.8,75.0,0.03
222.0,53.8,100.0,0.3
222.0,53.8,150.0,0.49
222.0,53.8,200.0,0.65
222.0,53.8,300.0,0.79
222.0,53.8,400.0,0.84
222.0,53.8,600.0,0.79
221.84,54.92,10.0,0.03
221.84,54.92,25.0,0.02
221.84,54.92,50.0,0.02
221.84,54.92,75.0,0.04
221.84,54.92,100.0,0.11
221.84,54.92,150.0,0.34
221.84,54.92,200.0,0.3
221.84,54.92,300.0,0.51
221.84,54.92,600.0,0.68
221.84,54.92,800.0,0.81
221.84,54.92,1000.0,0.64
221.83,54.42,10.0,0.03
221.83,54.42,25.0,0.04
221.83,54.42,50.0,0.04
221.83,54.42,75.0,0.06
221.83,54.42,100.0,0.12
221.83,54.42,150.0,0.39
221.83,54.42,200.0,0.44
221.83,54.42,300.0,0.57
221.83,54.42,400.0,0.53
221.83,54.42,600.0,0.65
221.83,54.42,800.0,0.66
221.83,54.42,1000.0,0.6
227.2,52.87,10.0,1.22
227.2,52.87,25.0,1.15
227.2,52.87,50.0,1.16
227.2,52.87,75.0,1.1
227.2,52.87,100.0,1.23
227.2,52.87,150.0,1.45
227.2,52.87,200.0,1.42
227.2,52.87,300.0,0.69
227.2,52.87,400.0,0.7
227.2,52.87,600.0,0.87
229.0,51.8,10.0,1.22
229.0,51.8,75.0,1.75
229.0,51.8,150.0,1.7
229.0,51.8,400.0,1.68
223.0,52.75,0.0,0.02
223.0,52.75,10.0,0.03
223.0,52.75,25.0,0.03
223.0,52.75,50.0,0.03
223.0,52.75,75.0,0.04
223.0,52.75,100.0,0.06
223.0,52.75,150.0,0.25
223.0,52.75,200.0,0.26
223.0,52.75,300.0,0.38
223.0,52.75,400.0,0.66
223.0,52.75,600.0,0.69
223.0,52.75,800.0,0.54
223.0,52.75,1000.0,0.57
226.17,50.25,0.0,0.04
226.17,50.25,10.0,0.04
226.17,50.25,25.0,0.04
226.17,50.25,75.0,0.46
226.17,50.25,150.0,0.74
221.25,52.5,10.0,0.07
221.25,52.5,25.0,0.03
221.25,52.5,50.0,0.04
221.25,52.5,75.0,0.05
221.25,52.5,100.0,0.05
221.25,52.5,150.0,0.18
221.25,52.5,200.0,0.32
221.25,52.5,300.0,0.4
221.25,52.5,600.0,0.73
221.25,52.5,800.0,0.63
221.25,52.5,1000.0,0.67
226.43,47.69,10.0,0.12
226.43,47.69,25.0,0.11
226.43,47.69,40.0,0.13
226.43,47.69,100.0,0.18
226.43,47.69,600.0,0.98
225.33,49.28,0.0,0.09
225.33,49.28,10.0,0.12
225.33,49.28,25.0,0.09
225.33,49.28,40.0,0.08
225.33,49.28,100.0,0.25
225.33,49.28,200.0,0.57
225.33,49.28,400.0,0.66
225.33,49.28,600.0,0.75
225.33,49.28,1000.0,0.76
221.25,54.0,10.0,0.05
221.25,54.0,25.0,0.05
221.25,54.0,40.0,0.1
221.25,54.0,75.0,0.17
221.25,54.0,100.0,0.28
221.25,54.0,150.0,0.6
221.25,54.0,200.0,0.4
221.25,54.0,300.0,0.56
221.25,54.0,400.0,0.67
221.25,54.0,600.0,0.85
221.25,54.0,800.0,0.91
221.25,54.0,950.0,0.91
221.67,54.5,10.0,0.06
221.67,54.5,25.0,0.02
221.67,54.5,40.0,0.03
221.67,54.5,75.0,0.22
221.67,54.5,100.0,0.48
221.67,54.5,150.0,0.55
221.67,54.5,300.0,0.65
221.67,54.5,600.0,0.65
221.67,54.5,800.0,0.63
221.67,54.5,950.0,0.71
221.67,53.5,10.0,0.11
221.67,53.75,10.0,0.06
221.67,54.0,10.0,0.06
221.67,54.17,10.0,0.06
221.67,54.33,10.0,0.07
221.67,54.5,10.0,0.05
221.83,54.83,10.0,0.05
222.25,55.25,10.0,0.06
226.0,51.25,10.0,0.08
226.0,51.25,25.0,0.03
226.0,51.25,40.0,0.04
226.0,51.25,75.0,0.2
226.0,51.25,100.0,0.44
226.0,51.25,150.0,0.89
226.0,51.25,200.0,1.15
226.0,51.25,300.0,1.24
226.0,51.25,400.0,1.48
226.0,51.25,600.0,1.09
226.0,51.25,800.0,1.02
226.0,51.25,980.0,0.97
226.17,51.58,10.0,0.04
226.17,51.58,25.0,0.06
226.17,51.58,40.0,0.04
226.17,51.58,75.0,0.17
226.17,51.58,100.0,0.25
226.17,51.58,150.0,0.72
226.17,51.58,200.0,0.92
226.17,51.58,300.0,0.96
226.17,51.58,400.0,0.96
226.17,51.58,600.0,1.15
226.17,51.58,800.0,1.11
226.17,51.58,980.0,1.29
226.18,50.9,10.0,0.18
226.17,51.05,10.0,0.18
226.17,51.25,10.0,0.16
226.17,51.42,10.0,0.1
226.17,51.58,10.0,0.09
226.17,51.75,10.0,0.11
226.17,52.0,10.0,0.14
224.67,51.0,10.0,0.06
224.67,51.0,25.0,0.06
224.67,51.0,50.0,0.06
224.67,51.0,75.0,0.14
224.67,51.0,100.0,0.32
224.67,51.0,200.0,0.68
224.67,51.0,600.0,0.9
225.25,50.83,10.0,0.09
225.25,50.83,50.0,0.06
225.25,50.83,75.0,0.22
225.25,50.83,100.0,0.17
225.25,50.83,200.0,0.59
225.25,50.83,400.0,0.79
155.0,41.0,0.0,0.39
109.0,-20.25,0.0,1.07
155.0,41.0,5.0,0.16
109.0,-20.25,5.0,0.14
155.0,41.0,10.0,0.14
109.0,-20.25,10.0,0.07
109.0,-20.25,50.0,0.8
155.0,41.0,50.0,0.3
155.0,41.0,100.0,0.9
109.0,-20.25,100.0,0.43
155.0,41.0,200.0,0.83
109.0,-20.25,200.0,1.08
109.0,-20.25,500.0,0.73
155.0,41.0,800.0,1.0
109.0,-20.25,800.0,0.64
175.5,43.0,0.0,0.39
175.5,38.5,0.0,0.54
175.5,43.0,5.0,0.34
175.5,38.5,5.0,0.74
175.5,47.5,5.0,1.04
175.5,47.5,10.0,0.28
175.5,38.5,10.0,0.76
175.5,43.0,10.0,0.4
175.5,47.5,50.0,0.57
175.5,38.5,50.0,0.37
175.5,43.0,50.0,0.78
175.5,43.0,100.0,0.25
175.5,47.5,100.0,0.57
175.5,38.5,100.0,0.46
175.5,43.0,200.0,0.86
175.5,38.5,200.0,0.44
175.5,47.5,200.0,0.94
175.5,47.5,500.0,0.5
175.5,38.5,500.0,0.26
175.5,47.5,800.0,0.82
175.5,38.5,800.0,0.34
175.5,43.0,800.0,0.46
175.5,43.0,1200.0,0.69
175.5,38.5,1200.0,0.38
175.5,47.5,1200.0,0.57
175.5,47.5,1500.0,0.96
175.5,43.0,1500.0,0.3
175.5,38.5,1500.0,0.4
165.0,40.0,0.0,0.12
165.0,50.0,0.0,0.38
154.59,44.0,0.0,0.35
165.0,40.0,10.0,0.08
154.59,44.0,10.0,0.19
165.0,50.0,10.0,0.18
165.0,50.0,20.0,0.19
165.0,40.0,20.0,0.08
154.59,44.0,20.0,0.28
154.59,44.0,30.0,0.17
165.0,40.0,30.0,0.08
165.0,50.0,40.0,0.17
154.59,44.0,40.0,0.16
165.0,40.0,40.0,0.09
165.0,40.0,50.0,0.07
154.59,44.0,50.0,0.17
165.0,50.0,50.0,0.23
165.0,40.0,75.0,0.09
154.59,44.0,75.0,0.23
165.0,50.0,75.0,0.18
165.0,40.0,100.0,0.11
154.59,44.0,100.0,0.3
165.0,50.0,100.0,0.18
154.59,44.0,125.0,0.32
165.0,40.0,125.0,0.18
165.0,50.0,125.0,0.73
165.0,50.0,150.0,0.86
154.59,44.0,150.0,0.56
165.0,40.0,150.0,0.19
165.0,50.0,175.0,0.89
154.59,44.0,175.0,0.8
165.0,40.0,175.0,0.23
165.0,50.0,200.0,0.91
154.59,44.0,200.0,0.88
165.0,40.0,200.0,0.32
165.0,40.0,250.0,0.3
154.59,44.0,250.0,0.96
165.0,50.0,250.0,0.88
165.0,50.0,300.0,0.81
154.59,44.0,300.0,1.0
165.0,40.0,300.0,0.35
165.0,50.0,400.0,0.92
154.59,44.0,400.0,1.17
165.0,40.0,400.0,0.6
165.0,50.0,500.0,0.98
165.0,40.0,500.0,0.81
165.0,40.0,600.0,0.85
154.59,44.0,600.0,1.18
165.0,50.0,600.0,1.02
154.59,44.0,800.0,1.16
165.0,50.0,800.0,1.1
165.0,40.0,800.0,0.88
154.59,44.0,1000.0,1.14
165.0,40.0,1000.0,0.9
165.0,50.0,1000.0,1.11
165.0,40.0,1250.0,0.84
165.0,50.0,1250.0,0.99
165.0,40.0,1500.0,0.82
154.59,44.0,1500.0,1.1
165.0,50.0,1500.0,0.96
154.59,44.0,2000.0,1.04
165.0,40.0,2000.0,0.87
165.0,50.0,2000.0,1.03
165.0,40.0,2500.0,0.82
154.59,44.0,2500.0,0.92
165.0,50.0,2500.0,0.96
165.0,50.0,3000.0,0.84
154.59,44.0,3000.0,0.89
165.0,40.0,3000.0,0.75
165.0,50.0,3500.0,1.05
154.59,44.0,3500.0,0.78
165.0,40.0,3500.0,0.78
352.0,46.0,3.0,0.34
353.0,46.43,3.0,0.23
353.0,46.43,200.0,0.47
352.0,46.0,249.98,0.57
352.0,46.0,499.95,0.77
353.0,46.43,500.0,0.6
353.0,46.43,800.0,0.65
352.0,46.0,899.91,0.86
353.0,46.43,900.0,0.61
352.0,46.0,999.9,0.86
353.0,46.43,1000.0,0.62
352.0,46.0,1099.89,0.88
353.0,46.43,1100.0,0.69
352.0,46.0,1199.88,0.87
353.0,46.43,1200.0,0.67
352.0,46.0,1299.87,1.01
353.0,46.43,1300.0,0.73
353.0,46.43,1400.0,0.68
353.0,46.43,1612.0,1.14
