lon,lat,depth,dFe_obs
210.0,-31.0,19.4,0.18
210.0,-31.0,32.9,0.2
210.0,-31.0,51.4,0.22
210.0,-31.0,78.4,0.21
210.0,-31.0,101.0,0.2
210.0,-31.0,126.4,0.22
210.0,-31.0,151.9,0.26
210.0,-31.0,200.4,0.25
210.0,-31.0,251.6,0.31
210.0,-31.0,502.2,0.33
210.0,-31.0,705.1,0.4
210.0,-31.0,855.9,0.45
210.003,-32.0005,20.8,0.15
210.003,-32.0004,36.5,0.15
210.003,-32.0005,66.8,0.16
210.003,-32.0004,87.0,0.18
210.003,-32.0004,104.9,0.16
210.003,-32.0005,136.0,0.17
210.003,-32.0005,186.3,0.17
210.003,-32.0004,234.7,0.24
210.003,-32.0004,283.9,0.22
210.003,-32.0004,486.2,0.3
210.003,-32.0004,674.3,0.27
210.003,-32.0004,850.0,0.43
209.998,-32.9998,16.0,0.27
209.998,-32.9997,35.0,0.21
209.998,-32.9998,56.0,0.29
209.998,-32.9998,70.5,0.17
209.998,-32.9998,93.0,0.15
209.998,-32.9997,122.7,0.17
209.998,-32.9998,170.8,0.13
209.998,-32.9997,221.6,0.14
209.998,-32.9997,272.0,0.17
209.998,-32.9997,473.1,0.18
209.998,-32.9997,642.2,0.28
209.998,-32.9998,848.6,0.27
210.0,-33.9999,13.6,0.22
210.0,-33.9999,35.5,0.26
210.0,-33.9999,49.3,0.19
210.0,-33.9999,80.2,0.25
210.0,-33.9999,100.1,0.25
210.0,-33.9999,125.5,0.21
210.0,-33.9999,150.3,0.23
210.0,-33.9999,201.2,0.26
210.0,-33.9999,251.7,0.3
210.0,-33.9999,503.9,0.31
210.0,-33.9999,707.1,0.41
210.0,-33.9999,857.1,0.44
210.0,-34.9993,15.2,0.16
210.0,-34.9993,39.1,0.13
210.0,-34.9993,66.8,0.14
210.0,-34.9993,85.3,0.17
210.0,-34.9993,106.0,0.15
210.0,-34.9993,136.2,0.16
210.0,-34.9993,184.7,0.15
210.0,-34.9993,235.1,0.17
210.0,-34.9993,286.5,0.19
210.0,-34.9993,486.8,0.25
210.0,-34.9993,672.6,0.31
210.0,-34.9993,852.0,0.4
209.999,-36.0009,19.9,0.13
209.999,-36.0009,34.8,0.14
209.999,-36.0008,54.8,0.18
209.999,-36.0008,70.5,0.17
209.999,-36.0008,89.5,0.17
209.999,-36.0008,119.5,0.15
209.999,-36.0007,171.4,0.16
209.999,-36.0007,221.8,0.14
209.999,-36.0006,271.8,0.12
209.999,-36.0005,473.7,0.15
209.999,-36.0005,643.8,0.2
209.999,-36.0003,845.1,0.29
210.001,-37.0003,21.5,0.2
210.001,-37.0003,34.7,0.12
210.001,-37.0003,48.5,0.14
210.001,-37.0003,78.6,0.16
210.001,-37.0003,99.7,0.17
