,collection,case,stream,variable,path
1539,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1540,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101.pop.h.photoC_diat_zint_100m.201501-206412.nc
1541,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101.pop.h.photoC_diat_zint_100m.206501-210012.nc
1542,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102.pop.h.photoC_diat_zint_100m.201501-206412.nc
1543,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102.pop.h.photoC_diat_zint_100m.206501-210012.nc
1544,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103.pop.h.photoC_diat_zint_100m.201501-206412.nc
1545,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103.pop.h.photoC_diat_zint_100m.206501-210012.nc
1546,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101.pop.h.POC_FLUX_100m.201501-206412.nc
1547,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.101.pop.h.POC_FLUX_100m.206501-210012.nc
1548,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102.pop.h.POC_FLUX_100m.201501-206412.nc
